year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2017,Argentina,Mexico,010121,01,15000,0
2019,Argentina,Mexico,010121,01,0,37091
2020,Argentina,Mexico,010121,01,79950,0
2017,Argentina,Mexico,010129,01,457100,0
2019,Argentina,Mexico,010129,01,168724,0
2020,Argentina,Mexico,010129,01,119750,0
2017,Argentina,Mexico,010619,01,10750,0
2018,Argentina,Mexico,010619,01,23622,0
2019,Argentina,Mexico,010619,01,10687,0
2017,Argentina,Mexico,010641,01,9295,0
2017,Argentina,Mexico,020712,01,68780,0
2017,Argentina,Mexico,020714,01,86026,0
2017,Argentina,Mexico,021099,01,1025460,0
2017,Argentina,Mexico,030617,01,868703,0
2017,Argentina,Mexico,040210,01,17080,0
2017,Argentina,Mexico,040221,01,2946330,0
2017,Argentina,Mexico,040299,01,0,22
2017,Argentina,Mexico,040410,01,858519,0
2017,Argentina,Mexico,040490,01,538,0
2017,Argentina,Mexico,040690,01,1098983,0
2018,Argentina,Mexico,040690,01,2151289,0
2017,Argentina,Mexico,040811,01,428917,0
2018,Argentina,Mexico,051000,01,0,27297
2017,Argentina,Mexico,051191,01,20648,0
2017,Argentina,Mexico,070320,02,2509463,0
2018,Argentina,Mexico,070320,02,2554695,0
2019,Argentina,Mexico,070320,02,1282775,0
2020,Argentina,Mexico,070320,02,4307012,0
2017,Argentina,Mexico,071290,02,47843,16287
2018,Argentina,Mexico,071290,02,0,115
2019,Argentina,Mexico,071290,02,32435,0
2020,Argentina,Mexico,071290,02,37078,33
2017,Argentina,Mexico,071333,02,9089134,0
2018,Argentina,Mexico,080430,02,0,1020
2017,Argentina,Mexico,080440,02,0,1386432
2018,Argentina,Mexico,080440,02,0,3773783
2019,Argentina,Mexico,080440,02,0,1083137
2020,Argentina,Mexico,080440,02,0,2286440
2018,Argentina,Mexico,080450,02,0,192
2018,Argentina,Mexico,080510,02,0,283972
2019,Argentina,Mexico,080510,02,0,102361
2018,Argentina,Mexico,080520,02,0,5160
2017,Argentina,Mexico,080550,02,22977,0
2018,Argentina,Mexico,080550,02,957793,0
2019,Argentina,Mexico,080550,02,471834,0
2020,Argentina,Mexico,080550,02,286898,0
2018,Argentina,Mexico,080620,02,0,115
2017,Argentina,Mexico,080810,02,42336,0
2019,Argentina,Mexico,080810,02,331782,0
2017,Argentina,Mexico,080830,02,3729123,0
2018,Argentina,Mexico,080830,02,4177812,0
2019,Argentina,Mexico,080830,02,6806502,0
2020,Argentina,Mexico,080830,02,6480607,0
2019,Argentina,Mexico,081120,02,0,188550
2017,Argentina,Mexico,081190,02,0,75291
2018,Argentina,Mexico,081190,02,0,127067
2020,Argentina,Mexico,081190,02,0,37582
2017,Argentina,Mexico,081320,02,68200,0
2018,Argentina,Mexico,081330,02,0,1222
2018,Argentina,Mexico,081340,02,0,3894
2017,Argentina,Mexico,090111,02,0,854
2019,Argentina,Mexico,090111,02,0,36184
2019,Argentina,Mexico,090112,02,0,23834
2017,Argentina,Mexico,090220,02,212049,0
2017,Argentina,Mexico,090240,02,54392,0
2020,Argentina,Mexico,090240,02,110106,0
2017,Argentina,Mexico,090300,02,323758,0
2018,Argentina,Mexico,090300,02,428373,0
2019,Argentina,Mexico,090300,02,459373,0
2020,Argentina,Mexico,090300,02,433183,0
2019,Argentina,Mexico,090411,02,0,22154
2020,Argentina,Mexico,090411,02,0,43510
2017,Argentina,Mexico,090421,02,0,146
2018,Argentina,Mexico,090421,02,0,39409
2019,Argentina,Mexico,090421,02,0,15801
2017,Argentina,Mexico,090422,02,3100,385
2018,Argentina,Mexico,090422,02,0,1328
2019,Argentina,Mexico,090422,02,0,371
2020,Argentina,Mexico,090422,02,0,546
2018,Argentina,Mexico,090510,02,0,37350
2019,Argentina,Mexico,090510,02,0,676
2017,Argentina,Mexico,090921,02,105058,0
2018,Argentina,Mexico,090921,02,158796,0
2019,Argentina,Mexico,090921,02,130700,0
2017,Argentina,Mexico,091091,02,7816,0
2017,Argentina,Mexico,091099,02,23580,0
2020,Argentina,Mexico,091099,02,0,14
2017,Argentina,Mexico,100111,02,0,29
2017,Argentina,Mexico,100191,02,0,303
2017,Argentina,Mexico,100199,02,6011445,0
2017,Argentina,Mexico,100510,02,998842,37566
2018,Argentina,Mexico,100510,02,0,3437
2019,Argentina,Mexico,100510,02,0,16466
2020,Argentina,Mexico,100510,02,9472,20153
2017,Argentina,Mexico,100590,02,10056603,0
2018,Argentina,Mexico,100590,02,298948,0
2019,Argentina,Mexico,100590,02,1327331,0
2020,Argentina,Mexico,100590,02,836507,0
2017,Argentina,Mexico,100630,02,3413952,0
2018,Argentina,Mexico,100630,02,13626137,0
2019,Argentina,Mexico,100630,02,6169770,0
2020,Argentina,Mexico,100630,02,11238247,0
2017,Argentina,Mexico,100710,02,0,660
2018,Argentina,Mexico,100710,02,0,752
2019,Argentina,Mexico,100710,02,0,228
2020,Argentina,Mexico,100710,02,0,65
2017,Argentina,Mexico,110220,02,0,3965
2018,Argentina,Mexico,110220,02,0,13530
2019,Argentina,Mexico,110220,02,0,16132
2020,Argentina,Mexico,110220,02,0,5578
2018,Argentina,Mexico,110320,02,0,1121
2018,Argentina,Mexico,110520,02,0,1107
2017,Argentina,Mexico,110710,02,88886,0
2017,Argentina,Mexico,110812,02,225158,0
2020,Argentina,Mexico,110812,02,0,3
2017,Argentina,Mexico,110813,02,0,29262
2017,Argentina,Mexico,120242,02,741626,0
2018,Argentina,Mexico,120242,02,1374649,0
2019,Argentina,Mexico,120242,02,1210831,0
2020,Argentina,Mexico,120242,02,618639,0
2017,Argentina,Mexico,120600,02,6917763,0
2018,Argentina,Mexico,120600,02,3995121,0
2019,Argentina,Mexico,120600,02,7245158,0
2020,Argentina,Mexico,120600,02,5756425,0
2017,Argentina,Mexico,120740,02,2052320,603407
2018,Argentina,Mexico,120740,02,3040138,670012
2019,Argentina,Mexico,120740,02,2302267,619956
2020,Argentina,Mexico,120740,02,2108061,389518
2019,Argentina,Mexico,120770,02,0,6200
2017,Argentina,Mexico,120810,02,13574,0
2017,Argentina,Mexico,120929,02,0,159330
2018,Argentina,Mexico,120929,02,0,26384
2020,Argentina,Mexico,120929,02,0,25957
2018,Argentina,Mexico,120930,02,0,138
2019,Argentina,Mexico,120930,02,0,789
2020,Argentina,Mexico,120930,02,0,1133
2017,Argentina,Mexico,120991,02,0,373469
2018,Argentina,Mexico,120991,02,0,128934
2019,Argentina,Mexico,120991,02,0,301670
2020,Argentina,Mexico,120991,02,0,172713
2017,Argentina,Mexico,121190,02,0,160968
2018,Argentina,Mexico,121190,02,0,158018
2019,Argentina,Mexico,121190,02,0,130200
2020,Argentina,Mexico,121190,02,0,318658
2018,Argentina,Mexico,121291,02,0,115
2017,Argentina,Mexico,130120,02,1844,0
2018,Argentina,Mexico,130190,02,0,2911
2019,Argentina,Mexico,130190,02,0,8554
2017,Argentina,Mexico,130219,02,64152,547099
2018,Argentina,Mexico,130219,02,45054,344840
2019,Argentina,Mexico,130219,02,35150,336559
2020,Argentina,Mexico,130219,02,52311,617266
2017,Argentina,Mexico,130220,02,280217,1202210
2018,Argentina,Mexico,130220,02,0,776536
2019,Argentina,Mexico,130220,02,0,811593
2020,Argentina,Mexico,130220,02,0,729278
2018,Argentina,Mexico,130231,02,0,159
2017,Argentina,Mexico,140490,02,0,52743
2018,Argentina,Mexico,140490,02,0,93384
2020,Argentina,Mexico,140490,02,0,42919
