"commodity_code","commodity_fullname_english","group_code","group_fullname_english","section_code","section_fullname_english"
"010121","Horses; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010129","Horses; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010130","Asses; live","01","Animals; live","01","Live animals and animal products"
"010190","Mules and hinnies; live","01","Animals; live","01","Live animals and animal products"
"010221","Cattle; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010229","Cattle; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010231","Buffalo; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010239","Buffalo; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010290","Bovine animals; live, other than cattle and buffalo","01","Animals; live","01","Live animals and animal products"
"010310","Swine; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products"
"010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","01","Animals; live","01","Live animals and animal products"
"010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","01","Animals; live","01","Live animals and animal products"
"010410","Sheep; live","01","Animals; live","01","Live animals and animal products"
"010420","Goats; live","01","Animals; live","01","Live animals and animal products"
"010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","01","Animals; live","01","Live animals and animal products"
"010512","Poultry; live, turkeys, weighing not more than 185g","01","Animals; live","01","Live animals and animal products"
"010513","Poultry; live, ducks, weighing not more than 185g","01","Animals; live","01","Live animals and animal products"
"010514","Poultry; live, geese, weighing not more than 185g","01","Animals; live","01","Live animals and animal products"
"010515","Poultry; live, guinea fowls, weighing not more than 185g","01","Animals; live","01","Live animals and animal products"
"010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","01","Animals; live","01","Live animals and animal products"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","01","Animals; live","01","Live animals and animal products"
"010611","Mammals; live, primates","01","Animals; live","01","Live animals and animal products"
"010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","01","Animals; live","01","Live animals and animal products"
"010613","Mammals; live, camels and other camelids (Camelidae)","01","Animals; live","01","Live animals and animal products"
"010614","Mammals; live, rabbits and hares","01","Animals; live","01","Live animals and animal products"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","01","Animals; live","01","Live animals and animal products"
"010620","Reptiles; live (including snakes and turtles)","01","Animals; live","01","Live animals and animal products"
"010631","Birds; live, birds of prey","01","Animals; live","01","Live animals and animal products"
"010632","Birds; live, Psittaciformes","01","Animals; live","01","Live animals and animal products"
"010633","Birds; live, ostriches; emus (Dromaius novaehollandiae)","01","Animals; live","01","Live animals and animal products"
"010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","01","Animals; live","01","Live animals and animal products"
"010641","Insects; live, bees","01","Animals; live","01","Live animals and animal products"
"010649","Insects; live, other than bees","01","Animals; live","01","Live animals and animal products"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","01","Animals; live","01","Live animals and animal products"
"020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020130","Meat; of bovine animals, boneless cuts, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020230","Meat; of bovine animals, boneless cuts, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
