"year","reporter_iso","reporter_fullname_english","partner_iso","partner_fullname_english","commodity_code","commodity_fullname_english","group_code","group_fullname_english","section_code","section_fullname_english","trade_value_usd_exp","trade_value_usd_imp"
2017,"arg","Argentina","mex","Mexico","010121","Horses; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",15000,0
2019,"arg","Argentina","mex","Mexico","010121","Horses; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",0,37091
2020,"arg","Argentina","mex","Mexico","010121","Horses; live, pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",79950,0
2017,"arg","Argentina","mex","Mexico","010129","Horses; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",457100,0
2019,"arg","Argentina","mex","Mexico","010129","Horses; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",168724,0
2020,"arg","Argentina","mex","Mexico","010129","Horses; live, other than pure-bred breeding animals","01","Animals; live","01","Live animals and animal products",119750,0
2017,"arg","Argentina","mex","Mexico","010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","01","Animals; live","01","Live animals and animal products",10750,0
2018,"arg","Argentina","mex","Mexico","010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","01","Animals; live","01","Live animals and animal products",23622,0
2019,"arg","Argentina","mex","Mexico","010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","01","Animals; live","01","Live animals and animal products",10687,0
2017,"arg","Argentina","mex","Mexico","010641","Insects; live, bees","01","Animals; live","01","Live animals and animal products",9295,0
2017,"arg","Argentina","mex","Mexico","020712","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen","02","Meat and edible meat offal","01","Live animals and animal products",68780,0
2017,"arg","Argentina","mex","Mexico","020714","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen","02","Meat and edible meat offal","01","Live animals and animal products",86026,0
2017,"arg","Argentina","mex","Mexico","021099","Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)","02","Meat and edible meat offal","01","Live animals and animal products",1025460,0
2017,"arg","Argentina","mex","Mexico","030617","Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products",868703,0
2017,"arg","Argentina","mex","Mexico","040210","Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","01","Live animals and animal products",17080,0
